2026-04-28 11:23:51,786 | INFO | __main__ | Login page initialized
2026-04-28 11:23:51,786 | DEBUG | __main__ | Page created: LoginPage
2026-04-28 11:23:51,786 | INFO | __main__ | Page shown: LoginPage
2026-04-28 11:23:51,786 | INFO | __main__ | Application initialized
2026-04-28 11:23:57,676 | DEBUG | users | Loading users data from logins.csv
2026-04-28 11:23:57,713 | WARNING | users | Authentication failed for email=b
2026-04-28 11:23:59,042 | WARNING | __main__ | Failed login attempt for email=b
2026-04-28 11:24:07,910 | DEBUG | users | Loading users data from logins.csv
2026-04-28 11:24:07,914 | INFO | users | Authentication successful: user_id=0 email=a role=admin
2026-04-28 11:24:07,915 | INFO | __main__ | User authenticated successfully: email=a role=admin
2026-04-28 11:24:07,915 | INFO | __main__ | BookManagement initialized for email=a role=admin
2026-04-28 11:24:07,917 | DEBUG | __main__ | Books table configured
2026-04-28 11:24:07,918 | INFO | __main__ | Filter controls setup completed
2026-04-28 11:24:07,918 | DEBUG | books | Loading books data from books.csv
2026-04-28 11:24:07,936 | INFO | __main__ | Books table displayed: rows=45 filter=None
2026-04-28 11:24:07,937 | INFO | __main__ | Admin page initialized for email=a
2026-04-28 11:24:07,938 | DEBUG | __main__ | Page created: AdminPage
2026-04-28 11:24:07,938 | INFO | __main__ | Page shown: AdminPage
2026-04-28 11:24:33,727 | INFO | __main__ | Login page initialized
2026-04-28 11:24:33,727 | DEBUG | __main__ | Page created: LoginPage
2026-04-28 11:24:33,728 | INFO | __main__ | Page shown: LoginPage
2026-04-28 11:24:33,728 | INFO | __main__ | Application initialized
2026-04-28 11:24:38,038 | DEBUG | users | Loading users data from logins.csv
2026-04-28 11:24:38,062 | WARNING | users | Authentication failed for email=q
2026-04-28 11:24:39,690 | WARNING | __main__ | Failed login attempt for email=q
2026-04-28 11:25:41,783 | DEBUG | users | Loading users data from logins.csv
2026-04-28 11:25:41,790 | WARNING | users | Authentication failed for email=bb@bb.com
2026-04-28 11:25:43,114 | WARNING | __main__ | Failed login attempt for email=bb@bb.com
2026-04-28 11:25:44,564 | DEBUG | users | Loading users data from logins.csv
2026-04-28 11:25:44,570 | INFO | users | Authentication successful: user_id=71 email=bb@bb.com role=user
2026-04-28 11:25:44,570 | INFO | __main__ | User authenticated successfully: email=bb@bb.com role=user
2026-04-28 11:25:44,571 | INFO | __main__ | BookManagement initialized for email=bb@bb.com role=user
2026-04-28 11:25:44,575 | DEBUG | __main__ | Books table configured
2026-04-28 11:25:44,576 | INFO | __main__ | Filter controls setup completed
2026-04-28 11:25:44,576 | DEBUG | books | Loading books data from books.csv
2026-04-28 11:25:44,584 | INFO | __main__ | Books table displayed: rows=45 filter=None
2026-04-28 11:25:44,584 | DEBUG | __main__ | Page created: BookManagement
2026-04-28 11:25:44,584 | INFO | __main__ | Page shown: BookManagement
2026-04-28 11:32:00,402 | INFO | __main__ | Login page initialized
2026-04-28 11:32:00,402 | INFO | __main__ | Page shown: LoginPage
2026-04-28 11:32:00,402 | INFO | __main__ | Application initialized
2026-04-29 08:12:43,232 | INFO | __main__ | Login page initialized
2026-04-29 08:12:43,243 | INFO | __main__ | Page shown: LoginPage
2026-04-29 08:12:43,243 | INFO | __main__ | Application initialized
2026-04-29 08:13:51,939 | INFO | users | Authentication successful: user_id=0 email=a role=admin
2026-04-29 08:13:51,940 | INFO | __main__ | User authenticated successfully: email=a role=admin
2026-04-29 08:13:51,941 | INFO | __main__ | BookManagement initialized for email=a role=admin
2026-04-29 08:13:51,946 | INFO | __main__ | Filter controls setup completed
2026-04-29 08:13:51,967 | INFO | __main__ | Books table displayed: rows=45 filter=None
2026-04-29 08:13:51,969 | INFO | __main__ | Admin page initialized for email=a
2026-04-29 08:13:51,969 | INFO | __main__ | Page shown: AdminPage
2026-04-29 08:13:53,786 | INFO | __main__ | Logout started: email=a
2026-04-29 08:13:53,814 | INFO | __main__ | Page shown: LoginPage
2026-04-29 08:13:53,814 | INFO | __main__ | Logout completed
2026-04-29 08:13:56,109 | WARNING | users | Authentication failed for email=
2026-04-29 08:13:57,617 | WARNING | __main__ | Failed login attempt for email=
2026-04-29 08:14:14,864 | WARNING | users | Authentication failed for email=čťžščžščžčš
2026-04-29 08:14:16,829 | WARNING | __main__ | Failed login attempt for email=čťžščžščžčš
2026-04-29 08:27:41,647 | INFO | __main__ | Login page initialized
2026-04-29 08:27:41,648 | INFO | __main__ | Page shown: LoginPage
2026-04-29 08:27:41,648 | INFO | __main__ | Application initialized
